iter	Passed	Remaining
652	1194	634
653	1196	632
654	1197	631
655	1199	629
656	1202	627
657	1204	626
658	1206	624
659	1207	622
660	1209	620
661	1210	618
662	1212	616
663	1213	614
664	1214	612
665	1217	610
666	1219	609
667	1221	607
668	1223	605
669	1224	603
670	1225	601
671	1227	599
672	1229	597
673	1232	595
674	1234	594
675	1235	592
676	1236	590
677	1238	588
678	1239	586
679	1241	584
680	1242	581
681	1243	579
682	1244	577
683	1246	576
684	1249	574
685	1250	572
686	1251	570
687	1253	568
688	1254	566
689	1255	564
690	1257	562
691	1258	560
692	1259	558
693	1261	556
694	1263	554
695	1264	552
696	1265	550
697	1267	548
698	1268	546
699	1269	544
700	1270	541
701	1271	539
702	1272	537
703	1274	535
704	1275	533
705	1277	531
706	1278	529
707	1280	527
708	1281	525
709	1282	523
710	1283	521
711	1284	519
712	1286	517
713	1287	515
714	1288	513
715	1289	511
716	1291	509
717	1292	507
718	1293	505
719	1294	503
720	1296	501
721	1297	499
722	1298	497
723	1299	495
724	1300	493
725	1301	491
726	1302	489
727	1303	487
728	1304	484
729	1306	483
730	1307	481
731	1308	479
732	1310	477
733	1311	475
734	1312	473
735	1313	471
736	1314	469
737	1315	467
738	1316	465
739	1317	462
740	1318	460
741	1319	458
742	1321	457
743	1322	455
744	1323	453
745	1325	451
746	1326	449
747	1327	447
748	1328	445
749	1329	443
750	1330	441
751	1331	439
752	1332	436
753	1333	434
754	1334	432
755	1336	431
756	1337	429
757	1339	427
758	1340	425
759	1342	423
760	1343	421
761	1344	419
762	1345	418
763	1346	416
764	1348	414
765	1349	412
766	1351	410
767	1353	408
768	1354	406
769	1355	404
770	1356	403
771	1358	401
772	1359	399
773	1360	397
774	1361	395
775	1362	393
776	1363	391
777	1365	389
778	1366	387
779	1368	385
780	1369	384
781	1370	382
782	1371	380
783	1372	378
784	1373	376
785	1374	374
786	1375	372
787	1376	370
788	1378	368
789	1379	366
790	1381	364
791	1382	363
792	1383	361
793	1384	359
794	1385	357
795	1387	355
796	1388	353
797	1389	351
798	1390	349
799	1391	347
800	1392	346
801	1394	344
802	1395	342
803	1397	340
804	1398	338
805	1399	336
806	1400	335
807	1402	333
808	1403	331
809	1404	329
810	1405	327
811	1406	325
812	1407	323
813	1408	321
814	1411	320
815	1412	318
816	1413	316
817	1415	314
818	1416	312
819	1417	311
820	1417	309
821	1419	307
822	1420	305
823	1421	303
824	1422	301
825	1423	299
826	1425	298
827	1426	296
828	1428	294
829	1429	292
830	1430	290
831	1432	289
832	1433	287
833	1434	285
834	1435	283
835	1436	281
836	1437	280
837	1438	278
838	1440	276
839	1442	274
840	1443	272
841	1444	271
842	1445	269
843	1447	267
844	1448	265
845	1449	263
846	1450	262
847	1451	260
848	1453	258
849	1454	256
850	1456	254
851	1457	253
852	1458	251
853	1460	249
854	1461	247
855	1462	246
856	1463	244
857	1465	242
858	1466	240
859	1467	238
860	1468	237
861	1470	235
862	1472	233
863	1474	232
864	1475	230
865	1476	228
866	1478	226
867	1479	224
868	1480	223
869	1481	221
870	1483	219
871	1484	217
872	1486	216
873	1488	214
874	1489	212
875	1490	211
876	1492	209
877	1493	207
878	1494	205
879	1495	203
880	1497	202
881	1498	200
882	1499	198
883	1501	197
884	1503	195
885	1504	193
886	1505	191
887	1507	190
888	1509	188
889	1510	186
890	1513	185
891	1515	183
892	1518	181
893	1520	180
894	1521	178
895	1522	176
896	1524	175
897	1525	173
898	1526	171
899	1527	169
900	1528	167
901	1529	166
902	1532	164
903	1533	162
904	1535	161
905	1536	159
906	1537	157
907	1538	155
908	1539	154
909	1540	152
910	1541	150
911	1542	148
912	1544	147
913	1545	145
914	1546	143
915	1548	141
916	1549	140
917	1550	138
918	1552	136
919	1553	135
920	1554	133
921	1555	131
922	1556	129
923	1557	128
924	1558	126
925	1560	124
926	1561	123
927	1563	121
928	1565	119
929	1566	117
930	1567	116
931	1568	114
932	1569	112
933	1570	111
934	1571	109
935	1573	107
936	1574	105
937	1575	104
938	1577	102
939	1579	100
940	1580	99
941	1581	97
942	1582	95
943	1583	93
944	1584	92
945	1585	90
946	1586	88
947	1587	87
948	1588	85
949	1590	83
950	1592	82
951	1593	80
952	1594	78
953	1596	76
954	1597	75
955	1598	73
956	1599	71
957	1600	70
958	1602	68
959	1603	66
960	1604	65
961	1607	63
962	1608	61
963	1609	60
964	1611	58
965	1612	56
966	1613	55
967	1614	53
968	1615	51
969	1616	50
970	1617	48
971	1618	46
972	1619	44
973	1623	43
974	1624	41
975	1625	39
976	1626	38
977	1627	36
978	1628	34
979	1630	33
980	1631	31
981	1632	29
982	1633	28
983	1634	26
984	1635	24
985	1637	23
986	1638	21
987	1639	19
988	1641	18
989	1642	16
990	1643	14
991	1644	13
992	1645	11
993	1646	9
994	1647	8
995	1648	6
996	1649	4
997	1651	3
998	1652	1
999	1653	0
